(77, 1): R=142, G=180, B=207
(78, 1): R=140, G=180, B=206
(79, 1): R=139, G=179, B=205
(80, 1): R=139, G=179, B=205
(81, 1): R=138, G=178, B=204
(82, 1): R=137, G=177, B=204
(83, 1): R=137, G=176, B=204
(84, 1): R=136, G=176, B=204
(85, 1): R=135, G=175, B=204
(86, 1): R=135, G=175, B=203
(87, 1): R=134, G=175, B=203
(88, 1): R=133, G=174, B=202
(89, 1): R=133, G=174, B=202
(90, 1): R=132, G=173, B=201
(91, 1): R=132, G=173, B=201
(92, 1): R=132, G=173, B=201
(93, 1): R=131, G=172, B=200
(94, 1): R=131, G=172, B=200
(95, 1): R=130, G=171, B=200
(96, 1): R=130, G=171, B=201
(97, 1): R=129, G=171, B=201
(98, 1): R=128, G=171, B=200
(99, 1): R=127, G=171, B=200
(0, 2): R=135, G=173, B=202
(1, 2): R=142, G=175, B=199
(2, 2): R=142, G=176, B=199
(3, 2): R=135, G=174, B=203
(4, 2): R=145, G=178, B=196
(5, 2): R=182, G=190, B=165
(6, 2): R=180, G=187, B=159
(7, 2): R=144, G=178, B=196
(8, 2): R=137, G=177, B=204
(9, 2): R=138, G=178, B=204
(10, 2): R=139, G=178, B=204
(11, 2): R=140, G=179, B=205
(12, 2): R=141, G=179, B=206
(13, 2): R=142, G=179, B=206
(14, 2): R=143, G=180, B=207
(15, 2): R=144, G=181, B=207
(16, 2): R=144, G=181, B=208
(17, 2): R=145, G=182, B=208
(18, 2): R=146, G=183, B=209
(19, 2): R=147, G=183, B=209
(20, 2): R=148, G=184, B=210
(21, 2): R=149, G=185, B=211
(22, 2): R=150, G=186, B=212
(23, 2): R=151, G=187, B=212
(24, 2): R=151, G=187, B=213
(25, 2): R=152, G=188, B=213
(26, 2): R=153, G=188, B=213
(27, 2): R=155, G=189, B=214
(28, 2): R=155, G=189, B=214
(29, 2): R=156, G=190, B=215
(30, 2): R=157, G=191, B=216
(31, 2): R=158, G=192, B=217
(32, 2): R=159, G=193, B=217
(33, 2): R=160, G=193, B=217
(34, 2): R=161, G=194, B=217
(35, 2): R=162, G=195, B=218
(36, 2): R=163, G=195, B=218
(37, 2): R=164, G=196, B=219
(38, 2): R=164, G=196, B=219
(39, 2): R=165, G=197, B=220
(40, 2): R=165, G=197, B=220
(41, 2): R=165, G=197, B=220
(42, 2): R=166, G=198, B=220
(43, 2): R=166, G=198, B=221
(44, 2): R=166, G=198, B=221
(45, 2): R=166, G=198, B=221
(46, 2): R=166, G=198, B=221
(47, 2): R=166, G=198, B=221
(48, 2): R=166, G=198, B=221
(49, 2): R=166, G=198, B=220
(50, 2): R=166, G=198, B=220
(51, 2): R=165, G=197, B=220
(52, 2): R=165, G=197, B=220
(53, 2): R=165, G=197, B=220
(54, 2): R=164, G=196, B=219
(55, 2): R=164, G=196, B=219
(56, 2): R=163, G=195, B=218
(57, 2): R=162, G=195, B=218
(58, 2): R=161, G=195, B=217
(59, 2): R=160, G=194, B=217
(60, 2): R=159, G=193, B=217
